Model,AUC,Weight
Random Forest 1,0.8068181818181818,0.344911343211076
Random Forest 2,0.7982954545454546,0.34126791352926894
Logistic Regression,0.7340909090909091,0.31382074325965514
ENSEMBLE,0.8040909090909091,NA
